FID	IID	SLNP_WenJ15
yangzhou_226_69	yangzhou_226_69	186.2
yangzhou_226_70	yangzhou_226_70	148.2
yangzhou_226_71	yangzhou_226_71	189.1
yangzhou_226_7	yangzhou_226_7	145.4
yangzhou_226_72	yangzhou_226_72	195.3
yangzhou_226_73	yangzhou_226_73	181.3
yangzhou_226_74	yangzhou_226_74	125.7
yangzhou_226_75	yangzhou_226_75	187.5
yangzhou_226_76	yangzhou_226_76	185.3
yangzhou_226_77	yangzhou_226_77	132.5
yangzhou_226_78	yangzhou_226_78	108.3
yangzhou_226_79	yangzhou_226_79	206.8
yangzhou_226_80	yangzhou_226_80	178.8
yangzhou_226_81	yangzhou_226_81	161.3
yangzhou_226_8	yangzhou_226_8	228.3
yangzhou_226_82	yangzhou_226_82	120.5
yangzhou_226_83	yangzhou_226_83	NA
yangzhou_226_84	yangzhou_226_84	218.8
yangzhou_226_85	yangzhou_226_85	184.5
yangzhou_226_86	yangzhou_226_86	120.4
yangzhou_226_87	yangzhou_226_87	240.7
yangzhou_226_88	yangzhou_226_88	181.3
yangzhou_226_89	yangzhou_226_89	117.8
yangzhou_226_90	yangzhou_226_90	223.2
yangzhou_226_91	yangzhou_226_91	260.1
yangzhou_226_9	yangzhou_226_9	94.5
yangzhou_226_92	yangzhou_226_92	133.7
yangzhou_226_93	yangzhou_226_93	154.2
yangzhou_226_94	yangzhou_226_94	216.7
yangzhou_226_95	yangzhou_226_95	224.8
yangzhou_226_96	yangzhou_226_96	203.2
yangzhou_226_97	yangzhou_226_97	249.7
yangzhou_226_98	yangzhou_226_98	233.7
yangzhou_226_99	yangzhou_226_99	116.2
YCX333	YCX333	NA
YCX334	YCX334	NA
YCX335	YCX335	NA
YCX336	YCX336	NA
YCX337	YCX337	NA
YCX338	YCX338	NA
YCX339	YCX339	NA
YCX340	YCX340	NA
YCX341	YCX341	NA
YCX342	YCX342	NA
YCX343	YCX343	NA
YCX344	YCX344	NA
YCX345	YCX345	NA
YCX346	YCX346	NA
YCX347	YCX347	NA
YCX348	YCX348	NA
YCX349	YCX349	NA
YCX350	YCX350	NA
YCX351	YCX351	NA
YCX352	YCX352	NA
YCX353	YCX353	NA
YCX354	YCX354	NA
YCX355	YCX355	NA
YCX356	YCX356	NA
YCX357	YCX357	NA
YCX358	YCX358	NA
YCX359	YCX359	NA
YCX360	YCX360	NA
YCX361	YCX361	NA
YCX362	YCX362	NA
YCX363	YCX363	NA
YCX364	YCX364	NA
YCX365	YCX365	NA
YCX366	YCX366	NA
YCX367	YCX367	NA
YCX368	YCX368	NA
