FID	IID	GW_BLUP
yangzhou_226_16	yangzhou_226_16	2.5847273668532
yangzhou_226_162	yangzhou_226_162	2.99459351262199
yangzhou_226_163	yangzhou_226_163	2.56061759357269
yangzhou_226_164	yangzhou_226_164	2.77760555309734
yangzhou_226_165	yangzhou_226_165	3.06670937445413
yangzhou_226_166	yangzhou_226_166	2.67972455894454
yangzhou_226_167	yangzhou_226_167	2.39184918060907
yangzhou_226_168	yangzhou_226_168	3.04281305918302
yangzhou_226_169	yangzhou_226_169	2.5847273668532
yangzhou_226_170	yangzhou_226_170	2.36773940732856
yangzhou_226_171	yangzhou_226_171	2.36773940732856
yangzhou_226_17	yangzhou_226_17	2.84993487293889
yangzhou_226_172	yangzhou_226_172	2.34362963404804
yangzhou_226_173	yangzhou_226_173	2.44006872717011
yangzhou_226_174	yangzhou_226_174	2.5847273668532
yangzhou_226_175	yangzhou_226_175	2.22308076764546
yangzhou_226_176	yangzhou_226_176	2.27130031420649
yangzhou_226_177	yangzhou_226_177	2.34362963404804
yangzhou_226_178	yangzhou_226_178	2.27130031420649
yangzhou_226_179	yangzhou_226_179	2.44006872717011
yangzhou_226_180	yangzhou_226_180	3.21158147214663
yangzhou_226_18	yangzhou_226_18	2.36773940732856
yangzhou_226_182	yangzhou_226_182	2.31951986076752
yangzhou_226_183	yangzhou_226_183	2.29541008748701
yangzhou_226_184	yangzhou_226_184	2.24719054092597
yangzhou_226_185	yangzhou_226_185	2.19897099436494
yangzhou_226_186	yangzhou_226_186	2.29541008748701
yangzhou_226_187	yangzhou_226_187	2.27130031420649
yangzhou_226_188	yangzhou_226_188	2.19897099436494
yangzhou_226_189	yangzhou_226_189	2.5847273668532
yangzhou_226_190	yangzhou_226_190	2.60883714013372
yangzhou_226_191	yangzhou_226_191	2.48828827373114
yangzhou_226_19	yangzhou_226_19	2.48828827373114
yangzhou_226_192	yangzhou_226_192	2.5847273668532
yangzhou_226_193	yangzhou_226_193	2.27130031420649
yangzhou_226_194	yangzhou_226_194	2.48828827373114
yangzhou_226_195	yangzhou_226_195	2.75349577981682
yangzhou_226_196	yangzhou_226_196	2.65705668669475
yangzhou_226_197	yangzhou_226_197	2.94637396606095
yangzhou_226_198	yangzhou_226_198	2.70527623325579
yangzhou_226_199	yangzhou_226_199	2.7293860065363
yangzhou_226_200	yangzhou_226_200	3.21158147214663
yangzhou_226_201	yangzhou_226_201	2.77760555309734
yangzhou_226_20	yangzhou_226_20	2.56061759357269
yangzhou_226_202	yangzhou_226_202	2.9009592345799
yangzhou_226_203	yangzhou_226_203	2.39184918060907
yangzhou_226_204	yangzhou_226_204	2.53650782029217
yangzhou_226_205	yangzhou_226_205	2.41595895388959
yangzhou_226_206	yangzhou_226_206	2.41595895388959
yangzhou_226_207	yangzhou_226_207	2.56061759357269
yangzhou_226_208	yangzhou_226_208	2.63294691341424
yangzhou_226_209	yangzhou_226_209	2.65705668669475
yangzhou_226_210	yangzhou_226_210	2.92226419278044
yangzhou_226_211	yangzhou_226_211	2.22308076764546
yangzhou_226_21	yangzhou_226_21	2.68116645997527
yangzhou_226_212	yangzhou_226_212	2.68368658956651
yangzhou_226_213	yangzhou_226_213	2.71034359678795
yangzhou_226_214	yangzhou_226_214	2.29734304823873
yangzhou_226_215	yangzhou_226_215	2.41595895388959
yangzhou_226_216	yangzhou_226_216	2.27130031420649
yangzhou_226_217	yangzhou_226_217	2.44006872717011
yangzhou_226_218	yangzhou_226_218	2.29541008748701
yangzhou_226_219	yangzhou_226_219	2.60883714013372
yangzhou_226_2	yangzhou_226_2	2.60883714013372
yangzhou_226_220	yangzhou_226_220	2.53650782029217
yangzhou_226_221	yangzhou_226_221	2.5847273668532
yangzhou_226_22	yangzhou_226_22	2.56061759357269
yangzhou_226_222	yangzhou_226_222	2.29541008748701
yangzhou_226_223	yangzhou_226_223	2.63294691341424
yangzhou_226_224	yangzhou_226_224	2.36773940732856
yangzhou_226_225	yangzhou_226_225	2.39184918060907
yangzhou_226_226	yangzhou_226_226	2.56061759357269
yangzhou_226_23	yangzhou_226_23	2.75349577981682
