FID	IID	TNP_BLUP
yangzhou_199_56	yangzhou_199_56	8.42561370160846
yangzhou_199_57	yangzhou_199_57	7.409257833064
yangzhou_199_58	yangzhou_199_58	8.24082172550946
yangzhou_199_59	yangzhou_199_59	8.54880835234112
yangzhou_199_60	yangzhou_199_60	7.16286853159868
yangzhou_199_61	yangzhou_199_61	8.08682841209364
yangzhou_199_6	yangzhou_199_6	8.61040567770744
yangzhou_199_62	yangzhou_199_62	8.48721102697479
yangzhou_199_63	yangzhou_199_63	7.65564713452932
yangzhou_199_64	yangzhou_199_64	7.5016538211135
yangzhou_199_65	yangzhou_199_65	7.65564713452932
yangzhou_199_66	yangzhou_199_66	7.62484847184616
yangzhou_199_67	yangzhou_199_67	7.59404980916299
yangzhou_199_68	yangzhou_199_68	7.25526451964818
yangzhou_199_69	yangzhou_199_69	7.99443242404414
yangzhou_199_70	yangzhou_199_70	8.02523108672731
yangzhou_199_71	yangzhou_199_71	9.25717759405391
yangzhou_199_7	yangzhou_199_7	8.45641236429162
yangzhou_199_72	yangzhou_199_72	9.01078829258859
yangzhou_199_73	yangzhou_199_73	8.17922440014313
yangzhou_199_74	yangzhou_199_74	7.87123777331148
yangzhou_199_75	yangzhou_199_75	8.8259963164896
yangzhou_199_76	yangzhou_199_76	7.47085515843033
yangzhou_199_77	yangzhou_199_77	8.27162038819263
yangzhou_199_78	yangzhou_199_78	8.17922440014313
yangzhou_199_79	yangzhou_199_79	8.08682841209364
yangzhou_199_80	yangzhou_199_80	7.37845917038084
yangzhou_199_81	yangzhou_199_81	7.80964044794515
yangzhou_199_8	yangzhou_199_8	9.50356689551923
yangzhou_199_82	yangzhou_199_82	8.1176270747768
yangzhou_199_83	yangzhou_199_83	8.70280166575694
yangzhou_199_84	yangzhou_199_84	8.27162038819263
yangzhou_199_85	yangzhou_199_85	7.77884178526199
yangzhou_199_86	yangzhou_199_86	8.36401637624212
yangzhou_199_87	yangzhou_199_87	8.1176270747768
yangzhou_199_88	yangzhou_199_88	8.79519765380644
yangzhou_199_89	yangzhou_199_89	9.16478160600442
yangzhou_199_90	yangzhou_199_90	8.94919096722226
yangzhou_199_91	yangzhou_199_91	9.59596288356873
yangzhou_199_9	yangzhou_199_9	8.30241905087579
yangzhou_199_92	yangzhou_199_92	8.33321771355896
yangzhou_199_93	yangzhou_199_93	8.48721102697478
yangzhou_199_94	yangzhou_199_94	8.42561370160846
yangzhou_199_95	yangzhou_199_95	7.5016538211135
yangzhou_199_96	yangzhou_199_96	8.05602974941047
