FID	IID	PL_BLUP
yangzhou_199_64	yangzhou_199_64	14.5
yangzhou_199_65	yangzhou_199_65	13.5
yangzhou_199_66	yangzhou_199_66	14.45
yangzhou_199_67	yangzhou_199_67	15.95
yangzhou_199_68	yangzhou_199_68	13.55
yangzhou_199_69	yangzhou_199_69	14.7
yangzhou_199_70	yangzhou_199_70	14.1
yangzhou_199_71	yangzhou_199_71	13.65
yangzhou_199_7	yangzhou_199_7	14.85
yangzhou_199_72	yangzhou_199_72	12.35
yangzhou_199_73	yangzhou_199_73	14.7
yangzhou_199_74	yangzhou_199_74	14.1
yangzhou_199_75	yangzhou_199_75	15.2
yangzhou_199_76	yangzhou_199_76	15.8
yangzhou_199_77	yangzhou_199_77	15.95
yangzhou_199_78	yangzhou_199_78	15.45
yangzhou_199_79	yangzhou_199_79	15.25
yangzhou_199_80	yangzhou_199_80	15.75
yangzhou_199_81	yangzhou_199_81	14.3
yangzhou_199_8	yangzhou_199_8	14.75
yangzhou_199_82	yangzhou_199_82	14.05
yangzhou_199_83	yangzhou_199_83	14.7
yangzhou_199_84	yangzhou_199_84	14.8
yangzhou_199_85	yangzhou_199_85	15.05
yangzhou_199_86	yangzhou_199_86	13.95
yangzhou_199_87	yangzhou_199_87	13.05
yangzhou_199_88	yangzhou_199_88	13.5
yangzhou_199_89	yangzhou_199_89	13.0
yangzhou_199_90	yangzhou_199_90	13.1
yangzhou_199_91	yangzhou_199_91	13.45
yangzhou_199_9	yangzhou_199_9	15.65
yangzhou_199_92	yangzhou_199_92	14.65
yangzhou_199_93	yangzhou_199_93	15.25
yangzhou_199_94	yangzhou_199_94	16.0
yangzhou_199_95	yangzhou_199_95	15.2
yangzhou_199_96	yangzhou_199_96	14.45
yangzhou_199_97	yangzhou_199_97	15.25
yangzhou_199_98	yangzhou_199_98	14.2
yangzhou_199_99	yangzhou_199_99	15.25
yangzhou_226_100	yangzhou_226_100	20.55
yangzhou_226_101	yangzhou_226_101	21.05
yangzhou_226_10	yangzhou_226_10	18.65
yangzhou_226_102	yangzhou_226_102	20.6
yangzhou_226_103	yangzhou_226_103	22.75
yangzhou_226_104	yangzhou_226_104	21.85
yangzhou_226_105	yangzhou_226_105	24.2
yangzhou_226_106	yangzhou_226_106	22.7
yangzhou_226_107	yangzhou_226_107	19.6
yangzhou_226_108	yangzhou_226_108	23.9
yangzhou_226_109	yangzhou_226_109	21.65
yangzhou_226_110	yangzhou_226_110	25.2
yangzhou_226_111	yangzhou_226_111	23.25
yangzhou_226_11	yangzhou_226_11	19.55
yangzhou_226_112	yangzhou_226_112	23.55
yangzhou_226_113	yangzhou_226_113	21.45
yangzhou_226_114	yangzhou_226_114	23.1
yangzhou_226_115	yangzhou_226_115	21.8
yangzhou_226_116	yangzhou_226_116	22.6
yangzhou_226_117	yangzhou_226_117	25.9
yangzhou_226_118	yangzhou_226_118	22.85
yangzhou_226_119	yangzhou_226_119	23.7
yangzhou_226_1	yangzhou_226_1	18.8
yangzhou_226_120	yangzhou_226_120	21.6
yangzhou_226_121	yangzhou_226_121	20.75
yangzhou_226_12	yangzhou_226_12	20.7
yangzhou_226_122	yangzhou_226_122	22.0
yangzhou_226_123	yangzhou_226_123	14.65
yangzhou_226_124	yangzhou_226_124	26.1
yangzhou_226_125	yangzhou_226_125	21.35
yangzhou_226_126	yangzhou_226_126	19.85
yangzhou_226_127	yangzhou_226_127	20.950000000000003
yangzhou_226_128	yangzhou_226_128	20.5
yangzhou_226_129	yangzhou_226_129	20.5
yangzhou_226_130	yangzhou_226_130	22.5
yangzhou_226_131	yangzhou_226_131	21.75
yangzhou_226_13	yangzhou_226_13	16.450000000000003
yangzhou_226_132	yangzhou_226_132	20.8
yangzhou_226_133	yangzhou_226_133	20.1
yangzhou_226_134	yangzhou_226_134	18.9
yangzhou_226_135	yangzhou_226_135	23.35
yangzhou_226_136	yangzhou_226_136	19.55
yangzhou_226_137	yangzhou_226_137	22.9
yangzhou_226_138	yangzhou_226_138	21.25
yangzhou_226_139	yangzhou_226_139	23.8
yangzhou_226_140	yangzhou_226_140	19.55
yangzhou_226_141	yangzhou_226_141	21.3
yangzhou_226_14	yangzhou_226_14	19.0
yangzhou_226_142	yangzhou_226_142	21.65
yangzhou_226_143	yangzhou_226_143	18.95
yangzhou_226_144	yangzhou_226_144	20.700000000000003
yangzhou_226_145	yangzhou_226_145	23.0
yangzhou_226_146	yangzhou_226_146	21.200000000000003
yangzhou_226_147	yangzhou_226_147	20.35
yangzhou_226_148	yangzhou_226_148	21.65
yangzhou_226_149	yangzhou_226_149	20.2
yangzhou_226_150	yangzhou_226_150	19.2
yangzhou_226_151	yangzhou_226_151	21.5
yangzhou_226_15	yangzhou_226_15	17.8
yangzhou_226_152	yangzhou_226_152	20.45
yangzhou_226_153	yangzhou_226_153	19.200000000000003
yangzhou_226_154	yangzhou_226_154	22.6
yangzhou_226_155	yangzhou_226_155	20.1
yangzhou_226_156	yangzhou_226_156	24.3
yangzhou_226_157	yangzhou_226_157	24.3
yangzhou_226_158	yangzhou_226_158	22.200000000000003
yangzhou_226_159	yangzhou_226_159	21.1
yangzhou_226_160	yangzhou_226_160	26.1
yangzhou_226_161	yangzhou_226_161	26.45
yangzhou_226_16	yangzhou_226_16	21.4
yangzhou_226_162	yangzhou_226_162	23.200000000000003
yangzhou_226_163	yangzhou_226_163	30.35
yangzhou_226_164	yangzhou_226_164	19.75
yangzhou_226_165	yangzhou_226_165	19.3
yangzhou_226_166	yangzhou_226_166	21.4
yangzhou_226_167	yangzhou_226_167	21.85
yangzhou_226_168	yangzhou_226_168	21.3
yangzhou_226_169	yangzhou_226_169	21.65
yangzhou_226_170	yangzhou_226_170	22.6
yangzhou_226_171	yangzhou_226_171	22.6
yangzhou_226_17	yangzhou_226_17	19.35
yangzhou_226_172	yangzhou_226_172	24.0
yangzhou_226_173	yangzhou_226_173	22.8
yangzhou_226_174	yangzhou_226_174	22.0
yangzhou_226_175	yangzhou_226_175	25.6
yangzhou_226_176	yangzhou_226_176	22.55
yangzhou_226_177	yangzhou_226_177	20.95
yangzhou_226_178	yangzhou_226_178	20.15
yangzhou_226_179	yangzhou_226_179	19.25
yangzhou_226_180	yangzhou_226_180	17.25
yangzhou_226_18	yangzhou_226_18	24.3
yangzhou_226_182	yangzhou_226_182	22.25
yangzhou_226_183	yangzhou_226_183	23.05
yangzhou_226_184	yangzhou_226_184	21.3
yangzhou_226_185	yangzhou_226_185	22.4
yangzhou_226_186	yangzhou_226_186	22.1
yangzhou_226_187	yangzhou_226_187	21.950000000000003
yangzhou_226_188	yangzhou_226_188	21.3
yangzhou_226_189	yangzhou_226_189	22.6
yangzhou_226_190	yangzhou_226_190	18.15
yangzhou_226_191	yangzhou_226_191	24.8
yangzhou_226_19	yangzhou_226_19	22.3
yangzhou_226_192	yangzhou_226_192	20.35
yangzhou_226_193	yangzhou_226_193	20.9
