FID	IID	FLL_BeiJ16
yangzhou_226_6	yangzhou_226_6	40.0
yangzhou_226_62	yangzhou_226_62	40.4
yangzhou_226_63	yangzhou_226_63	32.1
yangzhou_226_64	yangzhou_226_64	37.1
yangzhou_226_65	yangzhou_226_65	37.7
yangzhou_226_66	yangzhou_226_66	38.5
yangzhou_226_67	yangzhou_226_67	39.3
yangzhou_226_68	yangzhou_226_68	33.9
yangzhou_226_69	yangzhou_226_69	36.4
yangzhou_226_70	yangzhou_226_70	34.6
yangzhou_226_71	yangzhou_226_71	39.1
yangzhou_226_7	yangzhou_226_7	36.9
yangzhou_226_72	yangzhou_226_72	28.8
yangzhou_226_73	yangzhou_226_73	34.0
yangzhou_226_74	yangzhou_226_74	32.4
yangzhou_226_75	yangzhou_226_75	32.9
yangzhou_226_76	yangzhou_226_76	41.0
yangzhou_226_77	yangzhou_226_77	39.6
yangzhou_226_78	yangzhou_226_78	30.5
yangzhou_226_79	yangzhou_226_79	32.1
yangzhou_226_80	yangzhou_226_80	29.5
yangzhou_226_81	yangzhou_226_81	32.4
yangzhou_226_8	yangzhou_226_8	44.7
yangzhou_226_82	yangzhou_226_82	37.1
yangzhou_226_83	yangzhou_226_83	41.2
yangzhou_226_84	yangzhou_226_84	33.5
yangzhou_226_85	yangzhou_226_85	35.1
yangzhou_226_86	yangzhou_226_86	30.4
yangzhou_226_87	yangzhou_226_87	32.3
yangzhou_226_88	yangzhou_226_88	42.1
yangzhou_226_89	yangzhou_226_89	32.0
yangzhou_226_90	yangzhou_226_90	30.4
yangzhou_226_91	yangzhou_226_91	37.1
yangzhou_226_9	yangzhou_226_9	25.7
yangzhou_226_92	yangzhou_226_92	33.4
yangzhou_226_93	yangzhou_226_93	41.5
yangzhou_226_94	yangzhou_226_94	40.6
yangzhou_226_95	yangzhou_226_95	38.3
yangzhou_226_96	yangzhou_226_96	39.1
yangzhou_226_97	yangzhou_226_97	38.8
yangzhou_226_98	yangzhou_226_98	37.2
yangzhou_226_99	yangzhou_226_99	32.7
YCX333	YCX333	NA
YCX334	YCX334	NA
YCX335	YCX335	NA
YCX336	YCX336	30.5
YCX337	YCX337	35.4
YCX338	YCX338	39.3
YCX339	YCX339	35.3
YCX340	YCX340	NA
YCX341	YCX341	35.1
YCX342	YCX342	NA
YCX343	YCX343	NA
YCX344	YCX344	NA
YCX345	YCX345	30.8
YCX346	YCX346	37.9
YCX347	YCX347	38.0
YCX348	YCX348	38.6
YCX349	YCX349	32.1
YCX350	YCX350	31.8
YCX351	YCX351	37.3
YCX352	YCX352	26.9
YCX353	YCX353	43.6
YCX354	YCX354	33.0
YCX355	YCX355	35.3
YCX356	YCX356	35.4
YCX357	YCX357	33.7
YCX358	YCX358	33.6
YCX359	YCX359	33.6
YCX360	YCX360	34.5
YCX361	YCX361	40.6
YCX362	YCX362	NA
YCX363	YCX363	39.3
YCX364	YCX364	44.0
YCX365	YCX365	43.4
YCX366	YCX366	55.0
YCX367	YCX367	40.6
YCX368	YCX368	32.5
YCX369	YCX369	40.9
YCX370	YCX370	50.6
YCX371	YCX371	54.1
YCX372	YCX372	NA
YCX373	YCX373	NA
YCX374	YCX374	NA
