FID	IID	FGP_WenJ15
yangzhou_226_124	yangzhou_226_124	90.7
yangzhou_226_125	yangzhou_226_125	105.4
yangzhou_226_126	yangzhou_226_126	130.8
yangzhou_226_127	yangzhou_226_127	126.7
yangzhou_226_128	yangzhou_226_128	125.5
yangzhou_226_129	yangzhou_226_129	150.2
yangzhou_226_130	yangzhou_226_130	111.4
yangzhou_226_131	yangzhou_226_131	161.7
yangzhou_226_13	yangzhou_226_13	128.1
yangzhou_226_132	yangzhou_226_132	156.2
yangzhou_226_133	yangzhou_226_133	153.7
yangzhou_226_134	yangzhou_226_134	105.1
yangzhou_226_135	yangzhou_226_135	190.8
yangzhou_226_136	yangzhou_226_136	130.2
yangzhou_226_137	yangzhou_226_137	116.9
yangzhou_226_138	yangzhou_226_138	149.7
yangzhou_226_139	yangzhou_226_139	181.2
yangzhou_226_140	yangzhou_226_140	193.0
yangzhou_226_141	yangzhou_226_141	106.8
yangzhou_226_14	yangzhou_226_14	83.9
yangzhou_226_142	yangzhou_226_142	118.9
yangzhou_226_143	yangzhou_226_143	102.3
yangzhou_226_144	yangzhou_226_144	139.1
yangzhou_226_145	yangzhou_226_145	176.3
yangzhou_226_146	yangzhou_226_146	90.0
yangzhou_226_147	yangzhou_226_147	160.6
yangzhou_226_148	yangzhou_226_148	130.7
yangzhou_226_149	yangzhou_226_149	107.1
yangzhou_226_150	yangzhou_226_150	153.8
yangzhou_226_151	yangzhou_226_151	128.5
yangzhou_226_15	yangzhou_226_15	125.4
yangzhou_226_152	yangzhou_226_152	138.5
yangzhou_226_153	yangzhou_226_153	132.4
yangzhou_226_154	yangzhou_226_154	141.7
yangzhou_226_155	yangzhou_226_155	111.0
yangzhou_226_156	yangzhou_226_156	98.3
yangzhou_226_157	yangzhou_226_157	105.2
yangzhou_226_158	yangzhou_226_158	117.8
yangzhou_226_159	yangzhou_226_159	128.8
yangzhou_226_160	yangzhou_226_160	111.3
yangzhou_226_161	yangzhou_226_161	NA
yangzhou_226_16	yangzhou_226_16	84.3
yangzhou_226_162	yangzhou_226_162	112.8
yangzhou_226_163	yangzhou_226_163	179.6
yangzhou_226_164	yangzhou_226_164	105.2
yangzhou_226_165	yangzhou_226_165	121.4
yangzhou_226_166	yangzhou_226_166	140.1
