FID	IID	SPAD_BeiJ16
yangzhou_226_161	yangzhou_226_161	34.6
yangzhou_226_16	yangzhou_226_16	41.8
yangzhou_226_162	yangzhou_226_162	43.5
yangzhou_226_163	yangzhou_226_163	42.3
yangzhou_226_164	yangzhou_226_164	40.3
yangzhou_226_165	yangzhou_226_165	35.4
yangzhou_226_166	yangzhou_226_166	37.8
yangzhou_226_167	yangzhou_226_167	35.8
yangzhou_226_168	yangzhou_226_168	36.1
yangzhou_226_169	yangzhou_226_169	35.8
yangzhou_226_170	yangzhou_226_170	41.4
yangzhou_226_171	yangzhou_226_171	35.8
yangzhou_226_17	yangzhou_226_17	NA
yangzhou_226_172	yangzhou_226_172	40.3
yangzhou_226_173	yangzhou_226_173	41.6
yangzhou_226_174	yangzhou_226_174	41.0
yangzhou_226_175	yangzhou_226_175	40.4
yangzhou_226_176	yangzhou_226_176	42.5
yangzhou_226_177	yangzhou_226_177	36.5
yangzhou_226_178	yangzhou_226_178	40.9
yangzhou_226_179	yangzhou_226_179	36.3
yangzhou_226_180	yangzhou_226_180	40.1
yangzhou_226_18	yangzhou_226_18	38.0
yangzhou_226_182	yangzhou_226_182	41.0
yangzhou_226_183	yangzhou_226_183	39.7
yangzhou_226_184	yangzhou_226_184	38.8
yangzhou_226_185	yangzhou_226_185	41.5
yangzhou_226_186	yangzhou_226_186	37.4
yangzhou_226_187	yangzhou_226_187	41.5
yangzhou_226_188	yangzhou_226_188	37.6
yangzhou_226_189	yangzhou_226_189	39.8
yangzhou_226_190	yangzhou_226_190	37.0
yangzhou_226_191	yangzhou_226_191	37.9
yangzhou_226_19	yangzhou_226_19	35.2
yangzhou_226_192	yangzhou_226_192	35.2
yangzhou_226_193	yangzhou_226_193	36.5
yangzhou_226_194	yangzhou_226_194	44.5
yangzhou_226_195	yangzhou_226_195	35.7
yangzhou_226_196	yangzhou_226_196	43.7
yangzhou_226_197	yangzhou_226_197	44.7
yangzhou_226_198	yangzhou_226_198	41.0
yangzhou_226_199	yangzhou_226_199	40.0
yangzhou_226_200	yangzhou_226_200	54.9
yangzhou_226_201	yangzhou_226_201	38.0
yangzhou_226_20	yangzhou_226_20	40.9
yangzhou_226_202	yangzhou_226_202	43.1
yangzhou_226_203	yangzhou_226_203	41.3
yangzhou_226_204	yangzhou_226_204	35.7
yangzhou_226_205	yangzhou_226_205	37.8
yangzhou_226_206	yangzhou_226_206	36.2
yangzhou_226_207	yangzhou_226_207	35.9
yangzhou_226_208	yangzhou_226_208	43.9
yangzhou_226_209	yangzhou_226_209	36.3
yangzhou_226_210	yangzhou_226_210	39.5
yangzhou_226_211	yangzhou_226_211	39.7
yangzhou_226_21	yangzhou_226_21	NA
yangzhou_226_212	yangzhou_226_212	NA
yangzhou_226_213	yangzhou_226_213	33.3
yangzhou_226_214	yangzhou_226_214	37.7
yangzhou_226_215	yangzhou_226_215	37.0
yangzhou_226_216	yangzhou_226_216	36.3
yangzhou_226_217	yangzhou_226_217	42.9
yangzhou_226_218	yangzhou_226_218	37.6
yangzhou_226_219	yangzhou_226_219	35.9
yangzhou_226_2	yangzhou_226_2	NA
yangzhou_226_220	yangzhou_226_220	38.1
yangzhou_226_221	yangzhou_226_221	35.3
yangzhou_226_22	yangzhou_226_22	NA
yangzhou_226_222	yangzhou_226_222	40.4
yangzhou_226_223	yangzhou_226_223	39.8
yangzhou_226_224	yangzhou_226_224	35.4
yangzhou_226_225	yangzhou_226_225	37.5
yangzhou_226_226	yangzhou_226_226	38.8
yangzhou_226_23	yangzhou_226_23	NA
yangzhou_226_24	yangzhou_226_24	NA
yangzhou_226_25	yangzhou_226_25	40.2
yangzhou_226_26	yangzhou_226_26	NA
yangzhou_226_27	yangzhou_226_27	NA
yangzhou_226_28	yangzhou_226_28	36.6
yangzhou_226_29	yangzhou_226_29	39.5
yangzhou_226_30	yangzhou_226_30	NA
yangzhou_226_31	yangzhou_226_31	37.4
yangzhou_226_3	yangzhou_226_3	40.6
yangzhou_226_32	yangzhou_226_32	40.9
yangzhou_226_33	yangzhou_226_33	41.7
yangzhou_226_34	yangzhou_226_34	42.3
yangzhou_226_35	yangzhou_226_35	NA
yangzhou_226_36	yangzhou_226_36	37.5
yangzhou_226_37	yangzhou_226_37	43.2
yangzhou_226_38	yangzhou_226_38	42.3
yangzhou_226_39	yangzhou_226_39	40.4
yangzhou_226_40	yangzhou_226_40	39.1
yangzhou_226_41	yangzhou_226_41	44.1
yangzhou_226_4	yangzhou_226_4	NA
yangzhou_226_42	yangzhou_226_42	44.8
yangzhou_226_43	yangzhou_226_43	NA
yangzhou_226_44	yangzhou_226_44	42.6
yangzhou_226_45	yangzhou_226_45	42.4
yangzhou_226_46	yangzhou_226_46	43.3
yangzhou_226_47	yangzhou_226_47	38.0
yangzhou_226_48	yangzhou_226_48	42.4
yangzhou_226_49	yangzhou_226_49	42.9
yangzhou_226_50	yangzhou_226_50	40.4
yangzhou_226_51	yangzhou_226_51	40.5
yangzhou_226_5	yangzhou_226_5	43.7
yangzhou_226_53	yangzhou_226_53	39.7
yangzhou_226_54	yangzhou_226_54	39.6
yangzhou_226_55	yangzhou_226_55	36.6
yangzhou_226_56	yangzhou_226_56	34.5
yangzhou_226_57	yangzhou_226_57	36.8
yangzhou_226_58	yangzhou_226_58	NA
yangzhou_226_59	yangzhou_226_59	35.8
yangzhou_226_60	yangzhou_226_60	40.0
yangzhou_226_61	yangzhou_226_61	36.5
yangzhou_226_6	yangzhou_226_6	42.7
yangzhou_226_62	yangzhou_226_62	39.5
yangzhou_226_63	yangzhou_226_63	37.7
yangzhou_226_64	yangzhou_226_64	33.3
yangzhou_226_65	yangzhou_226_65	36.8
yangzhou_226_66	yangzhou_226_66	33.7
yangzhou_226_67	yangzhou_226_67	36.3
yangzhou_226_68	yangzhou_226_68	38.6
yangzhou_226_69	yangzhou_226_69	36.8
yangzhou_226_70	yangzhou_226_70	41.9
yangzhou_226_71	yangzhou_226_71	34.9
yangzhou_226_7	yangzhou_226_7	42.1
yangzhou_226_72	yangzhou_226_72	35.4
yangzhou_226_73	yangzhou_226_73	40.7
yangzhou_226_74	yangzhou_226_74	34.4
yangzhou_226_75	yangzhou_226_75	33.4
yangzhou_226_76	yangzhou_226_76	38.1
yangzhou_226_77	yangzhou_226_77	41.0
yangzhou_226_78	yangzhou_226_78	37.3
yangzhou_226_79	yangzhou_226_79	34.2
