FID	IID	FLW_BeiJ16
yangzhou_199_86	yangzhou_199_86	1.5
yangzhou_199_87	yangzhou_199_87	1.5
yangzhou_199_88	yangzhou_199_88	1.5
yangzhou_199_89	yangzhou_199_89	1.3
yangzhou_199_90	yangzhou_199_90	NA
yangzhou_199_91	yangzhou_199_91	NA
yangzhou_199_9	yangzhou_199_9	1.8
yangzhou_199_92	yangzhou_199_92	NA
yangzhou_199_93	yangzhou_199_93	NA
yangzhou_199_94	yangzhou_199_94	NA
yangzhou_199_95	yangzhou_199_95	NA
yangzhou_199_96	yangzhou_199_96	NA
yangzhou_199_97	yangzhou_199_97	NA
yangzhou_199_98	yangzhou_199_98	NA
yangzhou_199_99	yangzhou_199_99	1.7
yangzhou_226_100	yangzhou_226_100	2.1
yangzhou_226_101	yangzhou_226_101	2.0
yangzhou_226_10	yangzhou_226_10	1.3
yangzhou_226_102	yangzhou_226_102	2.0
yangzhou_226_103	yangzhou_226_103	1.7
yangzhou_226_104	yangzhou_226_104	1.9
yangzhou_226_105	yangzhou_226_105	2.1
yangzhou_226_106	yangzhou_226_106	2.0
yangzhou_226_107	yangzhou_226_107	1.7
yangzhou_226_108	yangzhou_226_108	1.7
yangzhou_226_109	yangzhou_226_109	1.8
yangzhou_226_110	yangzhou_226_110	1.9
yangzhou_226_111	yangzhou_226_111	2.2
yangzhou_226_11	yangzhou_226_11	2.1
yangzhou_226_112	yangzhou_226_112	2.0
yangzhou_226_113	yangzhou_226_113	2.1
yangzhou_226_114	yangzhou_226_114	2.3
yangzhou_226_115	yangzhou_226_115	NA
yangzhou_226_116	yangzhou_226_116	NA
yangzhou_226_117	yangzhou_226_117	2.1
yangzhou_226_118	yangzhou_226_118	2.2
yangzhou_226_119	yangzhou_226_119	1.8
yangzhou_226_1	yangzhou_226_1	1.4
yangzhou_226_120	yangzhou_226_120	2.1
yangzhou_226_121	yangzhou_226_121	2.1
yangzhou_226_12	yangzhou_226_12	1.7
yangzhou_226_122	yangzhou_226_122	2.4
yangzhou_226_123	yangzhou_226_123	NA
yangzhou_226_124	yangzhou_226_124	2.1
yangzhou_226_125	yangzhou_226_125	2.0
yangzhou_226_126	yangzhou_226_126	2.1
yangzhou_226_127	yangzhou_226_127	2.1
yangzhou_226_128	yangzhou_226_128	2.2
yangzhou_226_129	yangzhou_226_129	2.2
yangzhou_226_130	yangzhou_226_130	2.1
yangzhou_226_131	yangzhou_226_131	2.3
yangzhou_226_13	yangzhou_226_13	1.5
yangzhou_226_132	yangzhou_226_132	2.1
yangzhou_226_133	yangzhou_226_133	2.3
yangzhou_226_134	yangzhou_226_134	1.9
yangzhou_226_135	yangzhou_226_135	2.5
yangzhou_226_136	yangzhou_226_136	2.3
yangzhou_226_137	yangzhou_226_137	2.5
yangzhou_226_138	yangzhou_226_138	1.9
yangzhou_226_139	yangzhou_226_139	2.3
yangzhou_226_140	yangzhou_226_140	3.1
yangzhou_226_141	yangzhou_226_141	2.4
yangzhou_226_14	yangzhou_226_14	1.3
yangzhou_226_142	yangzhou_226_142	2.3
yangzhou_226_143	yangzhou_226_143	2.0
yangzhou_226_144	yangzhou_226_144	2.2
yangzhou_226_145	yangzhou_226_145	2.2
yangzhou_226_146	yangzhou_226_146	2.3
yangzhou_226_147	yangzhou_226_147	2.2
yangzhou_226_148	yangzhou_226_148	2.1
yangzhou_226_149	yangzhou_226_149	2.1
yangzhou_226_150	yangzhou_226_150	1.6
yangzhou_226_151	yangzhou_226_151	2.1
yangzhou_226_15	yangzhou_226_15	1.5
yangzhou_226_152	yangzhou_226_152	2.5
yangzhou_226_153	yangzhou_226_153	2.2
yangzhou_226_154	yangzhou_226_154	2.4
yangzhou_226_155	yangzhou_226_155	2.1
yangzhou_226_156	yangzhou_226_156	2.3
yangzhou_226_157	yangzhou_226_157	1.9
yangzhou_226_158	yangzhou_226_158	1.9
yangzhou_226_159	yangzhou_226_159	2.1
yangzhou_226_160	yangzhou_226_160	2.5
yangzhou_226_161	yangzhou_226_161	2.2
yangzhou_226_16	yangzhou_226_16	2.1
yangzhou_226_162	yangzhou_226_162	2.3
yangzhou_226_163	yangzhou_226_163	1.9
yangzhou_226_164	yangzhou_226_164	1.7
yangzhou_226_165	yangzhou_226_165	1.9
yangzhou_226_166	yangzhou_226_166	1.8
yangzhou_226_167	yangzhou_226_167	1.9
yangzhou_226_168	yangzhou_226_168	1.5
yangzhou_226_169	yangzhou_226_169	1.9
yangzhou_226_170	yangzhou_226_170	1.8
yangzhou_226_171	yangzhou_226_171	1.7
yangzhou_226_17	yangzhou_226_17	1.5
yangzhou_226_172	yangzhou_226_172	1.9
yangzhou_226_173	yangzhou_226_173	2.1
yangzhou_226_174	yangzhou_226_174	2.0
yangzhou_226_175	yangzhou_226_175	1.7
yangzhou_226_176	yangzhou_226_176	2.0
yangzhou_226_177	yangzhou_226_177	1.6
yangzhou_226_178	yangzhou_226_178	2.0
yangzhou_226_179	yangzhou_226_179	2.2
yangzhou_226_180	yangzhou_226_180	1.7
yangzhou_226_18	yangzhou_226_18	2.0
yangzhou_226_182	yangzhou_226_182	2.0
yangzhou_226_183	yangzhou_226_183	1.8
yangzhou_226_184	yangzhou_226_184	1.8
yangzhou_226_185	yangzhou_226_185	2.1
yangzhou_226_186	yangzhou_226_186	1.7
yangzhou_226_187	yangzhou_226_187	1.8
yangzhou_226_188	yangzhou_226_188	2.0
yangzhou_226_189	yangzhou_226_189	2.6
yangzhou_226_190	yangzhou_226_190	2.0
yangzhou_226_191	yangzhou_226_191	1.5
yangzhou_226_19	yangzhou_226_19	2.1
yangzhou_226_192	yangzhou_226_192	2.1
yangzhou_226_193	yangzhou_226_193	2.0
yangzhou_226_194	yangzhou_226_194	2.2
yangzhou_226_195	yangzhou_226_195	2.2
yangzhou_226_196	yangzhou_226_196	2.3
yangzhou_226_197	yangzhou_226_197	2.0
yangzhou_226_198	yangzhou_226_198	1.8
yangzhou_226_199	yangzhou_226_199	1.7
yangzhou_226_200	yangzhou_226_200	1.3
yangzhou_226_201	yangzhou_226_201	2.0
yangzhou_226_20	yangzhou_226_20	2.0
yangzhou_226_202	yangzhou_226_202	1.5
yangzhou_226_203	yangzhou_226_203	1.9
yangzhou_226_204	yangzhou_226_204	1.9
yangzhou_226_205	yangzhou_226_205	1.7
yangzhou_226_206	yangzhou_226_206	2.3
yangzhou_226_207	yangzhou_226_207	2.5
yangzhou_226_208	yangzhou_226_208	2.1
yangzhou_226_209	yangzhou_226_209	1.5
yangzhou_226_210	yangzhou_226_210	1.4
yangzhou_226_211	yangzhou_226_211	1.6
yangzhou_226_21	yangzhou_226_21	1.4
yangzhou_226_212	yangzhou_226_212	NA
yangzhou_226_213	yangzhou_226_213	1.8
yangzhou_226_214	yangzhou_226_214	1.7
yangzhou_226_215	yangzhou_226_215	2.0
yangzhou_226_216	yangzhou_226_216	1.7
yangzhou_226_217	yangzhou_226_217	1.6
yangzhou_226_218	yangzhou_226_218	1.8
yangzhou_226_219	yangzhou_226_219	2.0
yangzhou_226_2	yangzhou_226_2	NA
yangzhou_226_220	yangzhou_226_220	1.4
yangzhou_226_221	yangzhou_226_221	2.3
yangzhou_226_22	yangzhou_226_22	1.4
yangzhou_226_222	yangzhou_226_222	1.2
yangzhou_226_223	yangzhou_226_223	1.6
yangzhou_226_224	yangzhou_226_224	1.4
yangzhou_226_225	yangzhou_226_225	1.7
yangzhou_226_226	yangzhou_226_226	1.3
yangzhou_226_23	yangzhou_226_23	1.7
yangzhou_226_24	yangzhou_226_24	1.3
yangzhou_226_25	yangzhou_226_25	1.9
yangzhou_226_26	yangzhou_226_26	1.5
yangzhou_226_27	yangzhou_226_27	1.4
yangzhou_226_28	yangzhou_226_28	2.1
yangzhou_226_29	yangzhou_226_29	2.3
yangzhou_226_30	yangzhou_226_30	1.5
yangzhou_226_31	yangzhou_226_31	2.2
yangzhou_226_3	yangzhou_226_3	2.0
yangzhou_226_32	yangzhou_226_32	2.1
yangzhou_226_33	yangzhou_226_33	1.8
yangzhou_226_34	yangzhou_226_34	2.1
yangzhou_226_35	yangzhou_226_35	1.7
yangzhou_226_36	yangzhou_226_36	2.3
yangzhou_226_37	yangzhou_226_37	1.8
yangzhou_226_38	yangzhou_226_38	1.7
yangzhou_226_39	yangzhou_226_39	1.8
yangzhou_226_40	yangzhou_226_40	1.6
yangzhou_226_41	yangzhou_226_41	1.9
yangzhou_226_4	yangzhou_226_4	1.5
yangzhou_226_42	yangzhou_226_42	1.8
yangzhou_226_43	yangzhou_226_43	NA
yangzhou_226_44	yangzhou_226_44	2.1
yangzhou_226_45	yangzhou_226_45	2.0
yangzhou_226_46	yangzhou_226_46	1.9
yangzhou_226_47	yangzhou_226_47	1.8
yangzhou_226_48	yangzhou_226_48	1.7
yangzhou_226_49	yangzhou_226_49	1.7
yangzhou_226_50	yangzhou_226_50	1.9
yangzhou_226_51	yangzhou_226_51	1.9
yangzhou_226_5	yangzhou_226_5	1.5
yangzhou_226_53	yangzhou_226_53	2.0
yangzhou_226_54	yangzhou_226_54	2.1
yangzhou_226_55	yangzhou_226_55	2.3
yangzhou_226_56	yangzhou_226_56	2.3
yangzhou_226_57	yangzhou_226_57	2.0
yangzhou_226_58	yangzhou_226_58	NA
yangzhou_226_59	yangzhou_226_59	2.4
yangzhou_226_60	yangzhou_226_60	2.2
yangzhou_226_61	yangzhou_226_61	2.5
yangzhou_226_6	yangzhou_226_6	1.8
yangzhou_226_62	yangzhou_226_62	2.2
yangzhou_226_63	yangzhou_226_63	2.1
yangzhou_226_64	yangzhou_226_64	2.0
yangzhou_226_65	yangzhou_226_65	2.1
yangzhou_226_66	yangzhou_226_66	2.1
yangzhou_226_67	yangzhou_226_67	2.3
yangzhou_226_68	yangzhou_226_68	1.7
yangzhou_226_69	yangzhou_226_69	2.0
yangzhou_226_70	yangzhou_226_70	2.4
yangzhou_226_71	yangzhou_226_71	2.1
yangzhou_226_7	yangzhou_226_7	1.8
yangzhou_226_72	yangzhou_226_72	2.1
yangzhou_226_73	yangzhou_226_73	2.2
yangzhou_226_74	yangzhou_226_74	2.0
yangzhou_226_75	yangzhou_226_75	2.3
yangzhou_226_76	yangzhou_226_76	2.1
yangzhou_226_77	yangzhou_226_77	1.7
yangzhou_226_78	yangzhou_226_78	1.9
yangzhou_226_79	yangzhou_226_79	1.9
yangzhou_226_80	yangzhou_226_80	1.8
yangzhou_226_81	yangzhou_226_81	1.7
yangzhou_226_8	yangzhou_226_8	2.0
yangzhou_226_82	yangzhou_226_82	1.9
yangzhou_226_83	yangzhou_226_83	2.0
yangzhou_226_84	yangzhou_226_84	2.1
yangzhou_226_85	yangzhou_226_85	1.8
yangzhou_226_86	yangzhou_226_86	1.8
yangzhou_226_87	yangzhou_226_87	1.7
yangzhou_226_88	yangzhou_226_88	2.3
yangzhou_226_89	yangzhou_226_89	2.0
yangzhou_226_90	yangzhou_226_90	1.9
yangzhou_226_91	yangzhou_226_91	2.4
yangzhou_226_9	yangzhou_226_9	1.3
yangzhou_226_92	yangzhou_226_92	2.1
yangzhou_226_93	yangzhou_226_93	2.0
yangzhou_226_94	yangzhou_226_94	1.9
yangzhou_226_95	yangzhou_226_95	2.1
yangzhou_226_96	yangzhou_226_96	2.2
yangzhou_226_97	yangzhou_226_97	2.5
yangzhou_226_98	yangzhou_226_98	1.7
yangzhou_226_99	yangzhou_226_99	2.0
YCX333	YCX333	NA
YCX334	YCX334	NA
YCX335	YCX335	NA
YCX336	YCX336	1.6
YCX337	YCX337	1.8
YCX338	YCX338	1.5
YCX339	YCX339	1.5
YCX340	YCX340	NA
YCX341	YCX341	1.7
YCX342	YCX342	NA
YCX343	YCX343	NA
YCX344	YCX344	NA
YCX345	YCX345	1.4
YCX346	YCX346	1.3
YCX347	YCX347	1.3
YCX348	YCX348	1.3
YCX349	YCX349	1.4
YCX350	YCX350	1.3
YCX351	YCX351	1.8
YCX352	YCX352	1.6
YCX353	YCX353	2.1
YCX354	YCX354	1.3
YCX355	YCX355	1.9
YCX356	YCX356	1.9
YCX357	YCX357	1.7
YCX358	YCX358	1.6
YCX359	YCX359	1.6
YCX360	YCX360	1.8
YCX361	YCX361	2.3
YCX362	YCX362	NA
YCX363	YCX363	1.9
YCX364	YCX364	2.4
YCX365	YCX365	2.1
YCX366	YCX366	2.0
YCX367	YCX367	2.3
YCX368	YCX368	2.1
YCX369	YCX369	1.9
YCX370	YCX370	1.7
YCX371	YCX371	1.7
YCX372	YCX372	NA
YCX373	YCX373	NA
YCX374	YCX374	NA
YCX375	YCX375	2.9
YCX376	YCX376	2.4
YCX377	YCX377	2.0
YCX378	YCX378	2.4
YCX379	YCX379	1.8
YCX380	YCX380	1.8
YCX381	YCX381	NA
YCX382	YCX382	1.7
YCX383	YCX383	2.2
YCX384	YCX384	2.7
YCX385	YCX385	2.2
YCX386	YCX386	1.9
YCX387	YCX387	1.9
YCX388	YCX388	2.7
YCX389	YCX389	1.6
YCX390	YCX390	2.3
YCX391	YCX391	2.1
YCX392	YCX392	2.0
YCX393	YCX393	NA
YD12	YD12	NA
